Timestamp,Which type of computer user are you?,Approximately how many password protected accounts do you have?,Do you generally use secure passwords?,How do you keep track of your passwords?,Do you find it difficult to keep track of all your passwords?,Do you use OAuth? ,"If yes, do you prefer using it over passwords? Why?",Other relevant opinions
5/9/2014 5:23:07,"Expert (programmers, hard core geeks, IT professionals etc.)",More than 50,Yes,I use a password manager,No,Yes,"No, I feel like I'm giving away too much information.",
5/9/2014 5:41:11,"Expert (programmers, hard core geeks, IT professionals etc.)",11 - 20,No,I remember them all in my head,Yes,Yes,You don't have to remember which password you use for that specific site,
5/9/2014 5:50:05,"Expert (programmers, hard core geeks, IT professionals etc.)",21 - 50,Yes,I remember them all in my head,No,No,,
5/9/2014 5:50:49,"Advanced (hobbyists, gamers, general computer savvy people, etc.)",6 - 10,No,I remember them all in my head,No,No,,
5/9/2014 5:54:18,"Competent (simple computer related work, Word, Excel, basic image editing etc.)",6 - 10,No,I remember them all in my head,No,No,,
5/9/2014 5:56:29,"Expert (programmers, hard core geeks, IT professionals etc.)",21 - 50,Yes,I remember them all in my head,Yes,Yes,Prefer seamless browsing with as few logins as possible - for unimportant services.,
5/9/2014 5:58:07,"Competent (simple computer related work, Word, Excel, basic image editing etc.)",6 - 10,Yes,I remember them all in my head,No,No,,
5/9/2014 6:04:12,"Advanced (hobbyists, gamers, general computer savvy people, etc.)",6 - 10,No,I remember them all in my head,No,No,,
5/9/2014 6:08:44,"Basic (non technicals, Facebooking, emailing, looking up stuff, etc...)",11 - 20,No,I use a password manager,Yes,No,,
5/9/2014 6:20:35,"Competent (simple computer related work, Word, Excel, basic image editing etc.)",6 - 10,No,I don't,Yes,No,,
5/9/2014 6:34:21,"Expert (programmers, hard core geeks, IT professionals etc.)",More than 50,No,I remember them all in my head,No,Yes,"Nope, have to use it for some schoolrelated things though",
5/9/2014 7:08:55,"Competent (simple computer related work, Word, Excel, basic image editing etc.)",21 - 50,No,I remember them all in my head,No,No,,
5/9/2014 7:15:34,"Competent (simple computer related work, Word, Excel, basic image editing etc.)",11 - 20,No,I four different passwords for all my accounts in varying security levels.,No,No,,
